file name,package url,robot platforms,robot stack,infrastructure
aerial_gym_simulator,https://github.com/ntnu-arl/aerial_gym_simulator,[[Aerial Robots (UAVs)]],"[[Machine Learning (RL, Adaptive, etc)]]",[[Simulators & Playgrounds]]
Aerostack2,https://github.com/aerostack2/aerostack2?tab=readme-ov-file,[[Aerial Robots (UAVs)]],[[Task-Level Planning & Reasoning]],[[Multi-Robot Systems]]
airsim_ros2,https://github.com/AlexanderRex/airsim_ros2,[[Aerial Robots (UAVs)]],,[[Simulators & Playgrounds]]
anafi_autonomy,https://github.com/andriyukr/anafi_autonomy,[[Aerial Robots (UAVs)]],"[[Motion Planning (global)]], [[Reactive Planning (local , obstacle avoidance)]], [[Motion Planning & Navigation (global, local, path following)]]",[[Hardware Drivers & Interfaces]]
anafi_ros,https://github.com/andriyukr/anafi_ros/tree/ros2,[[Aerial Robots (UAVs)]],,"[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
Angler,https://github.com/Robotic-Decision-Making-Lab/angler,[[Underwater Robots (UUVs)]],[[Task-Level Planning & Reasoning]],"[[Interfacing & Interoperability (bridges, wrappers, APIs)]], [[Simulators & Playgrounds]]"
astroviz,https://github.com/CDonosoK/astroviz,,,"[[Real-Time Execution & Scheduling]], [[Visualization, Monitoring & Data Tools]]"
AutoDrive,https://github.com/AutoDRIVE-Ecosystem,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]",[[Sim2Real Transfer]],[[Simulators & Playgrounds]]
Autoware,https://github.com/autowarefoundation/autoware,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]",,"[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
auv_controllers,https://github.com/Robotic-Decision-Making-Lab/auv_controllers,[[Underwater Robots (UUVs)]],"[[Classical Control (PID, MPC, etc.)]]",
awesome-ros-deliberation,https://github.com/ros-wg-delib/awesome-ros-deliberation,,[[Task-Level Planning & Reasoning]],
aws-robomaker-hospital-world,https://github.com/aws-robotics/aws-robomaker-hospital-world,[[Healthcare & Assistive Robotics]],[[Sim2Real Transfer]],[[Simulators & Playgrounds]]
Aztarna,https://github.com/aliasrobotics/aztarna,[[Industrial Robots]],,"[[Security, Safety & Verification]]"
better_launch,https://github.com/dfki-ric/better_launch/tree/main,,,[[Build & Development Tools]]
blue,https://github.com/Robotic-Decision-Making-Lab/blue,[[Underwater Robots (UUVs)]],,"[[Interfacing & Interoperability (bridges, wrappers, APIs)]]"
Bobble-Bot,https://github.com/super-owesome/,"[[Ground Robots (UGVs legged wheeled)]], [[Robots for Education & Research]]",,[[Hardware Drivers & Interfaces]]
CARET,https://github.com/tier4/CARET,,,"[[Real-Time Execution & Scheduling]], [[Analyzing, Testing, Benchmarking & Profiling]]"
CARLA,https://github.com/carla-simulator/ros-bridge,"[[Autonomous Vehicles (cars, trucks, delivery robots)]]",,[[Simulators & Playgrounds]]
cartographer,https://github.com/ros2/cartographer_ros,[[Ground Robots (UGVs legged wheeled)]],"[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
CFV2,https://github.com/cear-inacap/CFV2-testcode,,,"[[Embedded Systems & Accelerators]], [[Hardware Drivers & Interfaces]]"
ChoiRbot,https://github.com/OPT4SMART/choirbot,,"[[Classical Control (PID, MPC, etc.)]]",[[Multi-Robot Systems]]
Converter_PGM_to_SDF,https://github.com/Arseni1919/Converter_PGM_to_SDF?tab=readme-ov-file,[[Ground Robots (UGVs legged wheeled)]],"[[Localization and Mapping (SLAM, LIO, VIO, LIVO)]]",
